类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
近30日,2024/4/1,2,我们八月见（加西亚·马尔克斯逝世十周年，遗作小说全球同步首发,42,95.20%,加西亚·马尔克斯,2024/3/6,南海出版公司,￥24.80,￥39.00
近30日,2024/4/1,3,许三观卖血记（余华温情幽默之作！一本写尽中国人“三观”的小说,3,100%,余华,2024/3/1,北京十月文艺出版社,￥40.70,￥59.00
近30日,2024/4/1,4,所有女生要知道 六层楼先生给女孩的青春期呵护指南,18,100%,六层楼先生,2024/1/1,浙江科学技术出版社,￥38.40,￥69.80
近30日,2024/4/1,5,医食住行 中医科普大V“懒兔子”2024重磅新作,53,86.80%,懒兔子,2024/3/1,科学技术文献出版社,￥39.80,￥58.00
近30日,2024/4/1,6,陪孩子轻松学好英语 young妈2024重磅新作 揭开从零基础到小托福近,14041,100%,young妈,2024/2/18,浙江教育出版社,￥39.80,￥59.80
近30日,2024/4/1,7,对症食疗小妙招 张宝旬著 独家专享四季食疗方速查海报,16,93.80%,张宝旬,2024/2/1,天津科学技术出版社,￥32.50,￥59.00
近30日,2024/4/1,8,人间信（麦家《人生海海》后长篇新作！命运不仅是承受，还要奋力,9,100%,麦家,2024/3/1,花城出版社,￥39.00,￥59.00
近30日,2024/4/1,9,正向陪伴儿童成长绘本（共22册）原版书全球畅销超过200万，“百班,10,90%,休·格雷夫斯,2024/1/1,台海出版社,￥256.00,￥434.00
近30日,2024/4/1,10,不正经西方思想史（思想史万有引力新作）,1827,100%,张乔木,2024/2/10,深圳出版社有限责任公司,￥49.00,￥68.00
近30日,2024/4/1,11,少年诗词游(15册，绘本+读本+音频）经典少年游诗词曲系列，叶嘉莹,1627,100%,唐香燕,2024/2/1,北京日报出版社,￥199.50,￥399.00
近30日,2024/4/1,12,写给孩子的表达课（王琨老师新作，练出高情商好口才）,1,100%,王琨,2024/3/1,河北科学技术出版社,￥35.80,￥50.00
近30日,2024/4/1,13,走南闯北吃东西,4,100%,高文麒,2024/1/30,金城出版社,￥39.80,￥60.00
近30日,2024/4/1,14,假面游戏（东野圭吾2024重磅新作！你有没有天天窥探一个人的生活,22,100%,东野圭吾,2024/2/1,南海出版公司,￥26.60,￥59.00
近30日,2024/4/1,15,沙丘六部曲（电影《沙丘2》3月8日起全国热映！原著小说。《降临》,4,100%,弗兰克·赫伯特,2024/2/1,江苏凤凰文艺出版社,￥212.20,￥424.50
近30日,2024/4/1,16,青蛙和蟾蜍（拼音版）（7-12岁） 信谊世界精选图画书 （帮助孩子,10,100%,作绘者,2023/12/1,明天出版社,￥39.90,￥79.80
近30日,2024/4/1,17,打开金刚经的世界 余世存2024年重磅新作,11,100%,余世存,2024/2/29,海南出版社,￥50.80,￥88.00
近30日,2024/4/1,18,男孩你该如何保护自己父母给青春期儿子男孩教育书籍10-16岁叛逆期,6,100%,青蓝图书,2023/12/1,民主与建设出版社,￥19.20,￥39.80
近30日,2024/4/1,19,正念的奇迹：获得身心的安详和悦乐,1,100%,一行禅师,2024/1/1,河南文艺出版社,￥32.00,￥58.00
近30日,2024/4/1,20,每一步都精进：你绕不开的66个职业发展关键难题,,0%,卢山,2024/3/15,上海科学技术出版社,￥49.00,￥68.00
2023年,2024/4/1,1,小学生漫画.小学生社交情商漫画（提升社交力，培养高情商，甄选真,92236,100%,歪歪兔童书馆,2023/8/15,海豚出版社,￥38.80,￥100.00
2023年,2024/4/1,2,通透（杨天真的人性解码词典）,146880,100%,杨天真,2023/3/1,湖南文艺出版社,￥34.10,￥62.00
2023年,2024/4/1,3,故宫博物院 孩子一定要去的博物馆 图说天下精装版,136051,100%,王大庆,2023/6/1,北京联合出版有限公司,￥13.90,￥50.00
2023年,2024/4/1,4,认知破局 怎样突破能力、视野和人脉 全民商业导师张琦给大家的人,133558,100%,张琦,2023/6/30,北京联合出版有限公司,￥49.00,￥69.80
2023年,2024/4/1,5,如果历史是一群喵12·元末明初篇,131301,100%,肥志,2023/4/1,广东旅游出版社,￥32.00,￥59.80
2023年,2024/4/1,6,狂飙（徐纪周导演，张译、张颂文、李一桐主演同名电视剧原著小说,119258,99.90%,徐纪周,2023/2/10,青岛出版社,￥32.60,￥68.00
2023年,2024/4/1,7,白鸟与蝙蝠（东野圭吾出道35周年，荣耀新高峰！）,117240,100%,东野圭吾,2023/2/15,南海出版公司,￥34.50,￥69.00
2023年,2024/4/1,8,跟着课本去旅行 带着孩子游世界 图说天下中小学生语文知识拓展,108499,100%,霍晨昕,2023/3/1,石油工业出版社,￥15.20,￥40.00
2023年,2024/4/1,9,"给青年的十二封信（八年级下册阅读推荐,首度收录朱光潜大事记。谈",66665,100%,朱光潜,2023/3/30,海南出版社,￥19.90,￥39.90
2023年,2024/4/1,10,星期六晚我们去散步吧（小红书博主、青年诗人隔花人 温暖治愈诗集,63099,100%,隔花人,2023/2/15,贵州人民出版社,￥24.90,￥49.80
2023年,2024/4/1,11,漫长的旅途（当当尊享戳章寄语印签版，卢思浩继《你也走了很远的,96137,100%,卢思浩,2023/8/2,湖南文艺出版社,￥27.40,￥49.80
2023年,2024/4/1,12,太白金星有点烦（马伯庸历史短小说“见微”系列口碑新作）,107477,100%,马伯庸,2023/6/1,湖南文艺出版社,￥29.00,￥45.00
2023年,2024/4/1,13,张皓宸新书：抬头看二十九次月亮（全彩手绘寄语印签本，写给每一,18384,100%,张皓宸,2023/9/1,湖南文艺出版社,￥24.90,￥49.80
2023年,2024/4/1,14,如果历史是一群喵13·大明皇朝篇,99027,100%,肥志,2023/11/20,广东旅游出版社,￥32.00,￥59.80
2023年,2024/4/1,15,允许一切发生：过不紧绷松弛的人生（董宇辉、莫言、演员吴越、海,83310,100%,李梦霁,2023/4/18,古吴轩出版社,￥19.80,￥52.80
2023年,2024/4/1,16,在细雨中呼喊（余华长篇！当我们凶狠地对待这个世界时，这个世界,219266,100%,余华,2023/6/1,北京十月文艺出版社,￥35.40,￥59.00
2023年,2024/4/1,17,河边的错误 (最新版)   余华先锋代表作  朱一龙主演戛纳入围电影,84590,100%,余华,2023/7/30,时代文艺出版社,￥32.80,￥49.80
2023年,2024/4/1,18,厌女（增订本）（上野千鹤子经典代表作！女性主义者就是意识到厌,133725,100%,上野千鹤子,2023/4/28,光启书局,￥28.10,￥66.00
2023年,2024/4/1,19,【亲签本】抬头看二十九次月亮张皓宸新书散文随笔集 写给每一个在,68608,100%,张皓宸,2023/10/1,湖南文艺出版社,￥33.00,￥49.80
2023年,2024/4/1,20,人生海海（麦家经典代表作，莫言、罗翔盛赞，入选《人民日报》书,1301281,100%,麦家,2023/8/1,北京十月文艺出版社,￥31.10,￥69.00
2022年,2024/4/1,1,真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的,585763,100%,房琪kiki,2022/9/28,北京联合出版有限公司,￥37.30,￥49.80
2022年,2024/4/1,2,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。当当专享语,349669,100%,大冰,2022/8/1,北京联合出版有限公司,￥35.00,￥39.80
2022年,2024/4/1,3,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。）,289544,100%,大冰,2022/9/1,北京联合出版有限公司,￥35.00,￥39.80
2022年,2024/4/1,4,大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头,155773,100%,意公子,2022/3/1,海南出版社,￥50.20,￥118.00
2022年,2024/4/1,5,阅读的方法（罗胖罗振宇的新书来了！这本书里有让你爱上阅读的方,90363,100%,罗振宇,2022/4/15,新星出版社,￥49.00,￥69.00
2022年,2024/4/1,6,如果历史是一群喵10·宋辽金夏篇,147536,100%,肥志,2022/4/1,广东旅游出版社,￥29.90,￥59.80
2022年,2024/4/1,7,借势：以弱胜强的128条黄金法则（借大势，成大事！广告界鬼才金枪,124351,100%,金枪大叔,2022/6/1,北京联合出版有限公司,￥42.90,￥78.00
2022年,2024/4/1,8,名画里看世界 给孩子能读懂的美学科普 精装版,125306,100%,钟华,2022/1/1,北京联合出版有限公司,￥37.50,￥50.00
2022年,2024/4/1,9,在岁月中远行（俞敏洪重磅新作，人生起伏下的心路与沉思！）,110870,100%,俞敏洪,2022/5/1,新星出版社,￥34.00,￥68.00
2022年,2024/4/1,10,望江南（2022中国好书获奖作品！茅奖得主王旭烽，沉潜26年，最新,132985,100%,王旭烽,2022/3/1,浙江文艺出版社,￥34.00,￥68.00
2022年,2024/4/1,11,起初·纪年（王朔新书，埋头十五年压卷之作！中国当代小说新高度,108074,99.90%,王朔,2022/8/1,新星出版社,￥79.00,￥108.00
2022年,2024/4/1,12,停止你的内在战争,60794,100%,黄仕明,2022/5/1,民主与建设出版社,￥39.44,￥68.00
2022年,2024/4/1,13,【赠明信片】大中华寻宝系列29 内蒙古寻宝记,53860,100%,京鼎动漫,2022/4/1,二十一世纪出版社,￥22.75,￥35.00
2022年,2024/4/1,14,南明史（全2册）（获中国国家图书奖，明史大家顾诚代表作。从南明,84916,99.80%,顾诚,2022/3/1,北京日报出版社,￥64.90,￥129.90
2022年,2024/4/1,15,枪炮、病菌与钢铁（赠解读册）,115368,100%,贾雷德·戴蒙德,2022/1/14,中信出版社,￥66.70,￥89.00
2022年,2024/4/1,16,如果历史是一群喵11·南宋金元篇,143402,100%,肥志,2022/10/1,广东旅游出版社,￥29.90,￥59.80
2022年,2024/4/1,17,回家（孙悦新书！电影《亲爱的》原型之一孙海洋的漫漫寻子路，传,74163,100%,孙悦,2022/9/30,中信出版社,￥38.80,￥59.80
2022年,2024/4/1,18,健康不走弯路：细节打造好身体,75766,100%,刘加勇,2022/10/1,中国人口出版社,￥21.40,￥49.80
2022年,2024/4/1,19,想为你的深夜放一束烟火（刘同新书，随书附赠手写书名海报！暗处,32697,99.90%,刘同,2022/6/1,浙江文艺出版社,￥26.00,￥52.00
2022年,2024/4/1,20,书的全景：通往幸福、成功、财富的地图,47851,100%,池宇峰,2022/4/1,中译出版社（原中国对外翻译出版公司）,￥48.90,￥89.00
2021年,2024/4/1,1,文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,432097,100%,余华,2021/3/3,北京十月文艺出版社,￥44.20,￥59.00
2021年,2024/4/1,2,把自己当回事儿（销量超过60万册！杨天真的沟通秘籍)蔡康永、樊登,198211,100%,杨天真,2021/4/1,北京联合出版有限公司,￥38.60,￥56.00
2021年,2024/4/1,3,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,382922,100%,博多·舍费尔,2021/1/20,中信出版社,￥19.90,￥39.80
2021年,2024/4/1,4,考试脑科学 脑科学中的高效记忆法（图灵出品）,210627,100%,池谷裕二,2021/3/1,人民邮电出版社,￥27.00,￥59.80
2021年,2024/4/1,5,沟通的方法（畅销70万册 得到CEO脱不花为你准备的沟通心法，助你,173342,100%,脱不花,2021/6/11,新星出版社,￥49.00,￥69.00
2021年,2024/4/1,6,非暴力沟通（修订版·当当独家订制）,687682,100%,马歇尔,2021/5/1,华夏出版社,￥44.80,￥59.80
2021年,2024/4/1,7,张文鹤护肤指南（皮肤科专家张文鹤20年临床经验总结一本守护全家,155808,100%,张文鹤,2021/4/1,科学技术文献出版社,￥46.80,￥65.00
2021年,2024/4/1,8,刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思,170466,100%,刘擎,2021/1/17,新星出版社,￥49.00,￥79.00
2021年,2024/4/1,9,非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19,173067,100%,刘晓辉,2020/11/30,台海出版社,￥30.60,￥52.00
2021年,2024/4/1,10,烟与镜：尼尔·盖曼头皮发麻短篇集（看得头皮发麻的同时，原始的,80732,100%,尼尔·盖曼,2021/3/31,江苏凤凰文艺出版社,￥24.00,￥48.00
2021年,2024/4/1,11,平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年,1191496,100%,路遥,2021/6/1,北京十月文艺出版社,￥88.20,￥138.00
2021年,2024/4/1,12,碎嘴许美达的生活碎片（签名寄语版）（“怎么能长成旷世奇才？”,278813,100%,许美达,2021/6/1,中国大百科全书出版社,￥29.98,￥58.00
2021年,2024/4/1,13,沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选,396228,100%,王小波,2021/1/1,北京十月文艺出版社,￥29.50,￥59.00
2021年,2024/4/1,14,古代人的日常生活2（典藏版）（古代房价高吗？古人如何抗疫？古人,43851,100%,讲历史的王老师,2021/8/1,江苏凤凰文艺出版社,￥52.30,￥75.90
2021年,2024/4/1,15,给男孩的情绪管理绘本（套装全5册）,68500,99.90%,乐凡,2021/3/1,青岛出版社,￥45.00,￥90.00
2021年,2024/4/1,16,在峡江的转弯处：陈行甲人生笔记（南方周末、万圣书园2021十大好,149912,100%,陈行甲,2021/1/26,人民日报出版社,￥24.00,￥48.00
2021年,2024/4/1,17,天堂旅行团（继《全世界》《云边》之后，张嘉佳新书2021全新长篇,181206,100%,张嘉佳,2021/8/1,湖南文艺出版社,￥28.10,￥48.00
2021年,2024/4/1,18,追风筝的人（李雪琴、高圆圆推荐）,1186980,100%,卡勒德·胡赛尼,2006/5/1,上海人民出版社,￥22.50,￥45.00
2021年,2024/4/1,19,字母表谜案（怪异君推荐！当你隐隐觉得不对劲，致命的恶意正悄悄,74875,100%,大山诚一郎,2021/4/30,河南文艺出版社,￥21.00,￥42.00
2021年,2024/4/1,20,半小时漫画青春期：生理篇（从变声长痘到脸红心跳，笑着笑着解决,79212,100%,陈磊·半小时漫画团队,2021/7/30,天津科学技术出版社,￥31.85,￥49.00
