类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
近7日,2024/4/1,18,跟着诗词去旅行 少年游学地理百科,6359,100%,日知图书,2024/2/1,北方妇女儿童出版社,￥11.40,￥34.00
近7日,2024/4/1,19,红岩（激励了无数青年的爱国情怀和奋斗热情）,848194,99.90%,罗广斌,2017/9/1,中国青年出版社,￥22.70,￥36.00
近7日,2024/4/1,20,生死疲劳（不看不知道，莫言真幽默！全新版本！）,652934,100%,莫言,2022/1/1,浙江文艺出版社,￥31.00,￥69.90
近30日,2024/4/1,1,快乐就是哈哈哈哈哈,78445,100%,梁实秋,2022/8/1,中国友谊出版公司,￥9.90,￥52.00
近30日,2024/4/1,2,我们生活在巨大的差距里（余华十年杂文集）,336934,100%,余华,2015/1/1,北京十月文艺出版社,￥15.80,￥35.00
近30日,2024/4/1,3,读读童谣和儿歌（共四册）一年级下册 语文教科书配套书目 人教版,413413,100%,曹文轩,2018/1/1,人民教育出版社,￥17.20,￥39.80
近30日,2024/4/1,4,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,1215074,100%,史铁生,2011/6/1,人民文学出版社,￥16.00,￥29.00
近30日,2024/4/1,5,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,855813,100%,迟子建,2019/6/1,人民文学出版社,￥16.00,￥32.00
近30日,2024/4/1,6,一起长大的玩具 二年级下册 语文教科书配套书目 人教版快乐读书吧,227628,100%,曹文轩,2019/1/1,人民教育出版社,￥6.90,￥16.00
近30日,2024/4/1,7,中国古代寓言 三年级下册 语文教科书配套书目 人教版快乐读书吧,152890,100%,曹文轩,2019/1/1,人民教育出版社,￥10.80,￥25.00
近30日,2024/4/1,8,克雷洛夫寓言 三年级下册 语文教科书配套书目 人教版快乐读书吧,132623,100%,曹文轩,2019/1/1,人民教育出版社,￥10.80,￥25.00
近30日,2024/4/1,9,伊索寓言 三年级下册 语文教科书配套书目 人教版快乐读书吧,120491,100%,曹文轩,2019/1/1,人民教育出版社,￥12.50,￥25.00
近30日,2024/4/1,10,病隙碎笔（光影纪念版，书内彩插作者亲摄照片12幅）史铁生充满灵,337758,100%,史铁生,2021/11/1,湖南文艺出版社,￥21.60,￥48.00
近30日,2024/4/1,11,活着（余华代表作，精装，易烊千玺推荐阅读）,1402465,100%,余华,2021/10/1,北京十月文艺出版社,￥31.00,￥45.00
近30日,2024/4/1,12,红岩（激励了无数青年的爱国情怀和奋斗热情）,848194,99.90%,罗广斌,2017/9/1,中国青年出版社,￥22.70,￥36.00
近30日,2024/4/1,13,神笔马良 二年级下册 语文教科书配套书目 人教版快乐读书吧,178305,100%,曹文轩,2018/12/1,人民教育出版社,￥6.90,￥16.00
近30日,2024/4/1,14,七色花 二年级下册 语文教科书配套书目 人教版快乐读书吧,195460,100%,曹文轩,2018/12/1,人民教育出版社,￥6.90,￥16.00
近30日,2024/4/1,15,大头儿子和小头爸爸 二年级下册 语文教科书配套书目 人教版快乐读,176663,100%,曹文轩,2018/12/1,人民教育出版社,￥6.90,￥16.00
近30日,2024/4/1,16,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,1350956,100%,岸見一郎,2020/3/5,机械工业出版社,￥27.50,￥55.00
近30日,2024/4/1,17,摄影轻松入门一本就够（全彩）,172193,100%,先锋影像,2018/4/1,电子工业出版社,￥37.60,￥99.00
近30日,2024/4/1,18,听风八百遍，才知是人间（史铁生、汪曾祺、梁实秋、丰子恺、沈从,65631,100%,史铁生,2023/10/1,华中科技大学出版社,￥27.40,￥49.80
近30日,2024/4/1,19,经典常谈 朱自清著八年级下册语文教材名著导读推荐阅读书目 适合,88185,100%,朱自清,2023/1/1,南方出版社,￥11.10,￥26.80
近30日,2024/4/1,20,我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季,276705,100%,史铁生,2022/2/1,读者出版社,￥8.40,￥49.80
2023年,2024/4/1,1,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,1215074,100%,史铁生,2011/6/1,人民文学出版社,￥16.00,￥29.00
2023年,2024/4/1,2,你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的,651890,100%,卢思浩,2022/9/26,湖南文艺出版社,￥24.90,￥49.80
2023年,2024/4/1,3,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,855813,100%,迟子建,2019/6/1,人民文学出版社,￥16.00,￥32.00
