电影,评分,演员
唐伯虎点秋香,8.7,"周星驰,巩俐,陈百祥,郑佩佩,朱咪咪,梁家仁,苑琼丹,梁荣忠,黄一山,黄霑,吴镇宇,刘家辉,蓝洁瑛,谷德昭,陈辉虹,李健仁,宣萱,温翠苹,李家声,姜皓文,李绮霞,朱铁和,平田广明,刘小芸,黎彼得,黄凤琼,何英伟,曾健明,王伟梁,贾天怡,陈家碧,林威,刘锡贤"
九品芝麻官,8.7,"周星驰,吴孟达,张敏,徐锦江,钟丽缇,蔡少芬,吴启华,邹兆龙,梁荣忠,黄一飞,苑琼丹,刘洵,黄一山,谷峰,夏萍,李健仁,田启文,程东,鲁芬,王清河,欧瑞伟,卢雄,吴回,黄凤琼,胡立成,曾健明,刘小芸,刘准,姜瑰瑾,陈文妤,邓泰和,蔡坚成,黄雄,张赞生,杨和"
射雕英雄传之东成西就,8.7,"梁朝伟,林青霞,张国荣,叶玉卿,张学友,王祖贤,张曼玉,梁家辉,刘嘉玲,钟镇涛,鲍起静,周金江,程守一,秦贵宝,尹尚林,司马华龙,林芳雪,麦伟章,魏伯勤"
回到未来,8.8,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森,克里斯平·格洛弗,托马斯·F·威尔森,克劳迪娅·韦尔斯,马克·麦克卢尔,温迪·乔·斯佩博,乔治·第桑佐,弗兰西斯·李·麦克凯恩,詹姆斯·托根,J·J·科恩,凯西·希玛兹科,比利·赞恩,小哈利·沃特斯,唐纳德·富利洛夫,丽萨·弗里曼,克里斯滕·考夫曼,萨奇·帕克,玛丽·艾伦·特雷纳,麦娅·布鲁顿,加里·莱利,艾尔莎·瑞雯,休易·路易斯,Tiger,德博拉·哈蒙,诺曼·阿尔登,考特尼·盖恩斯,乔治·“巴克”·弗劳尔,艾薇·贝瑟恩,罗伯特·克兰茨,Tom Willett,查尔斯·L·坎贝尔,贾森·赫维,杰夫·奥哈科,Will Hare,Tom Tangen,杰森·马林,Tommy Thomas,Read Morgan,Karen Petrasek,计泓"
超能陆战队,8.7,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,郑智麟,小达蒙·韦恩斯,珍尼希斯·罗德里格兹,詹姆斯·克伦威尔,艾伦·图代克,玛娅·鲁道夫,亚布拉哈姆·本鲁比,凯蒂·洛斯,比利·布什,丹尼尔·吉尔森,保罗·布里格斯,Dan Howell,乔西·特立尼达,菅野美穗,郝祥海,斯坦·李,夏洛特·古列齐,大卫·肖内西,查尔斯·阿德勒"
神偷奶爸,8.7,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,朱莉·安德鲁斯,威尔·阿奈特,克里斯汀·韦格,米兰达·卡斯格拉夫,达纳·盖尔,艾尔西·费舍尔,皮埃尔·柯芬,克里斯·雷纳德,杰梅奈·克莱门特,杰克·麦克布瑞尔,丹尼·麦克布莱德,敏迪·卡灵,罗布·许贝尔,肯·道里欧,郑肯,詹姆斯·凯森·李,斯科特·门维尔,霍利·多夫,芦田爱菜,欧阳娣娣,凯蒂·丽,查尔斯·布赖特"
天使爱美丽,8.7,"奥黛丽·塔图,马修·卡索维茨,吕菲斯,洛莱拉·克拉沃塔,塞尔·梅林,贾梅尔·杜布兹,克洛蒂尔德·莫莱特,克莱尔·莫里耶,伊莎贝尔·南蒂,多米尼克·皮侬,阿尔蒂斯·德·彭居埃恩,友兰达·梦露,于尔班·康塞利埃,莫里斯·贝尼舒,米歇尔·罗班,安德烈·达芒,克洛德·佩隆,阿尔梅尔,迪基·奥尔加多,凯文·迪亚士,弗洛拉·吉耶,阿莫里·巴博尔,欧仁·贝蒂埃,让·达里,马克·阿米约,菲利普·博蒂埃,林原惠美,多米尼克·贝特费德,姜广涛,安德烈·杜索里埃"
大佛普拉斯,8.7,"庄益增,陈竹升,戴立忍,张少怀,陈以文,纳豆,丁国琳,李永丰,朱约信,雷婕熙,林美秀,小亮哥,游安顺,梁赫群,脱线,郑宇彤,鲁文学"
疯狂原始人,8.7,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹,凯瑟琳·基纳,克萝丽丝·利奇曼,克拉克·杜克,克里斯·桑德斯,兰迪·汤姆,梁家辉,范晓萱"
你逃我也逃,9.2,"卡洛·朗白,杰克·本尼,罗伯特·斯塔克,菲利克斯·布雷萨特,莱昂内尔·阿特威尔,斯坦利·里吉斯,西戈·鲁曼,查尔斯·霍尔顿,George Lynn,Henry Victor,Maude Eburne,哈利韦尔·霍布斯,迈尔斯·曼德,鲁道夫·安德斯,Sven Hugo Borg,丹尼·鲍沙其,巴斯特·布罗迪,Alec Craig,赫尔穆特·丹丁,Jack Deery,Leslie Denison,詹姆斯·芬利森,贝丝·弗劳尔斯,Stuart Hall,莱兰·霍奇森,Shep Houghton,奥拉夫·许滕,Charles Irwin,Tiny Jones,约翰·凯洛格,Adolf E. Licho,Wilbur Mack,John Meredith,Maurice Murphy,Richard Neill,拉斯·鲍威尔,弗兰克·雷歇尔,Otto Reichow,Gene Rizzi,John Roy,Hans Schumm,Stephen Soldi,Count Stefenelli,罗兰德·瓦尔诺,Ern? Verebes,Dorothy Vernon,Armand 'Curly' Wright,Wolfgang Zilzer,汤姆·杜根"
无敌破坏王,8.7,"约翰·C·赖利,萨拉·西尔弗曼,杰克·麦克布瑞尔,简·林奇,艾伦·图代克,敏迪·卡灵,乔·洛·特鲁格里奥,艾德·奥尼尔,丹尼斯·海斯伯特,伊迪·麦克勒格,雷蒙德·S·佩尔西,杰斯·哈梅尔,瑞秋·哈里斯,斯盖拉·阿斯丁,亚当·卡罗拉,霍拉提奥·桑斯,莫里斯·拉马奇,斯戴芬妮·斯考特,约翰·迪·马吉欧,瑞奇·摩尔,凯蒂·洛斯,贾米·埃曼,乔西·特立尼达,辛贝·沃克,塔克·吉莫尔,布兰登·斯考特,蒂姆·梅尔滕斯,凯文·迪特斯,杰洛·里佛斯,马丁·贾维斯,布莱恩·克辛格,罗杰·克莱格·史密斯,菲尔·约翰斯顿,鲁本·兰登,凯尔·赫伯特,洁米·斯贝勒·罗伯茨,尼克·格里姆肖,胡军,谢娜,斯科特·门维尔"
遗愿清单,8.7,"杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯,贝弗利·陶德,罗伯·莫洛,阿方索·弗里曼,罗文娜·金,韦尔达·布里奇斯,伊恩·安东尼·代尔,詹妮弗·迪弗朗西斯科,安吉拉·加德纳,诺尔·古格雷米,乔纳森·赫尔南德斯,休·B·赫鲁伯,理查德·麦克格纳格尔,丸山凯伦,安波米德,尼基·诺瓦克,克里斯托弗·斯塔普勒顿,泰勒.安.汤普森,亚历克斯·崔贝克,乔丹·朗德,Jonathan Mangum,瑟瑞娜·里德,MaShae Alderman,Vin Scully"
奇爱博士,8.9,"彼得·塞勒斯,乔治·C·斯科特,斯特林·海登,詹姆斯·厄尔·琼斯,格伦·贝克,特蕾西·里德,谢恩·里默,彼得布尔,斯利姆·佩金斯"
寻子遇仙记,9.2,"查理·卓别林,卡尔米勒,艾德娜·珀薇安丝,杰基·库根,艾伯特·奥斯汀,Nellie Bly Baker,亨利·伯格曼,Edward Biby,B.F. Blinn,Kitty Bradbury,弗兰克·坎皮沃,Bliss Chevalier,Robert Dunbar,丽塔·格雷,Jules Hanft,Kathleen Kay,Raymond Lee,Clyde McAtee,Lew Parker,艾斯特·罗尔斯顿,Granville Redmond,查尔斯·赖斯纳,Edgar Sherrod,Arthur Thalasso,S.D. Wilcox,汤姆·威尔森,杰克·库根"
坠入,8.8,"凯婷卡·安塔鲁,贾斯蒂恩·瓦戴尔,李·佩斯,Kim Uylenbroek,Aiden Lithgow,肖恩·吉尔德,Ronald France,Andrew Roussouw,Michael Huff,格兰特·斯旺比,埃米尔奥斯迪那,罗宾·史密斯,Jeetu Verma,里奥·比尔,Marcus Wesley,卡米拉·瓦尔德曼,大卫·芬奇,丹尼尔·卡尔塔吉罗内,乔恩·凯曼,朱利安·布里奇,艾尔维拉·达库,斯派克·琼斯"
疯狂的石头,8.6,"郭涛,刘桦,连晋,黄渤,徐峥,岳小军,罗兰,王迅,宁浩,杜杰,彭波,侯姝,姜志刚,王佳宁,陈正华,刘刚,罗强,黄小兰,耿灏,任为洲,宋汶芯"
谁先爱上他的,8.6,"邱泽,谢盈萱,陈如山,黄圣球,周洺甫,梁正群,杨丽音,安哲,高隽雅,吴定谦,刘黛莹,钟欣凌,万芳,高爱伦,范姜彦丰,白痴公主"
冰川时代,8.6,"雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,杰克·布莱克,彼得·阿克曼,克里斯·韦奇,程玉珠"
白日梦想家,8.6,"本·斯蒂勒,克里斯汀·韦格,亚当·斯科特,西恩·潘,凯瑟琳·哈恩,泰伦斯·伯尼·海恩斯,保罗·菲兹杰拉德,乔恩·戴利,乔伊·斯洛特尼克,格蕾丝·雷克斯,阿莱克斯·阿方格,阿曼达·诺顿,阿德里安·马丁斯,雪莉·麦克雷恩,艾米·斯蒂勒,斯图尔特·康菲尔德,奥拉维尔·达里·奥拉夫松,索哈德吕尔·西格罗森,贡纳·黑尔加松,卡伊·伦诺克斯,柯南·奥布莱恩,安迪·里克特,安东尼·德西奥,帕顿·奥斯瓦尔特,理查德·德多梅尼科,马特·莱文,格雷格·西佩斯,马米·科西科,马修·古利,罗丝玛丽·霍华德,伊兰·克里斯费尔德,安娜·库奇马,西恩·奥斯汀,菲尼斯·埃弗里,艾伦·D·柏温,加里·维尔姆斯,伊莲·阿普鲁泽西"
我能说,8.8,"罗文姬,李帝勋,廉惠兰,朴哲民,李相喜,李知勋,郑妍周,金素辰,李在仁,孙淑子,金兰熙,李至勋,郑元昌,崔秀仁,特里斯·布朗,李素珍,禹尚基,黄妍熙,秋延圭,金子英,李信成,成侑彬,禹志贤,薛昌熙,李东勇,孙成灿,赵莞基"
再次出发之纽约遇见你,8.6,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文,詹姆斯·柯登,海莉·斯坦菲尔德,凯瑟琳·基纳,茅斯·达夫,罗伯·莫洛,伊恩·布罗茨基,香农·沃尔什,大卫·埃伯利斯,马科·阿桑特,玛丽·凯瑟琳·歌瑞森,詹·雅各布,席洛·格林,詹妮弗·李·杰克逊,特里·刘易斯,吉米·帕伦博,西蒙·德兰尼,丹妮尔·布里瑟布瓦,基恩·鲁弗洛,尼古拉斯·丹尼尔·冈萨雷斯,麦迪·科尔曼,阿雅·卡什,大卫·彭德尔顿,保罗·罗梅罗,安德鲁·塞伦,凯伦·皮特曼,罗恩·沃斯"
美食总动员,8.6,"帕顿·奥斯瓦尔特,伊安·霍姆,卢·罗曼诺,布莱恩·丹内利,彼得·孙,彼得·奥图尔,布拉德·加内特,詹妮安·加罗法洛,威尔·阿奈特,詹姆斯·瑞马尔,约翰·拉森贝格,泰迪·牛顿,托尼·弗希勒,杰克·斯坦菲尔德,布拉德·伯德,林赛·柯林斯,布拉德·刘易斯,洛丽·理查德森,迈克·吉亚奇诺,何炅,王心凌,张栋梁,张磊,许杰辉"
玩具总动员,8.6,"汤姆·汉克斯,蒂姆·艾伦,唐·里克斯,吉姆·法尼,华莱士·肖恩,约翰·拉森贝格,安妮·波茨,约翰·莫里斯,伊瑞克·冯·迪滕,劳里·梅特卡夫,李·厄米,佩恩·吉列特,杰克·安杰尔,黛比·德里贝里,比尔·法玛尔,雪莉·琳恩,斯科特·麦克菲,米凯·麦高万,杰夫·皮金,菲尔·普洛克特,扬·拉布森,乔·兰福特,安德鲁·斯坦顿,内森·连恩,约翰·拉塞特,卢卡·佩洛斯,埃林·萨贝拉,唐泽寿明,户田惠子,Danielle Judovits,克雷希米尔·米基奇,Anthony Burch,Ryan O'Donohue,Gregory Grudt,Ranko Zidaric,Branko Menicanin,Nenad Cvetko,Craig Good,Cody Dorkin,尚恩·斯威特,Kendall Cunningham,Sarah Freeman"
热情如火,8.9,"玛丽莲·梦露,托尼·柯蒂斯,杰克·莱蒙,乔治·拉夫特,帕特·奥布莱恩,乔·E·布朗,内赫米亚·佩尔索夫,琼·肖丽,乔治·E·斯通,戴夫·巴里,迈克·马祖尔凯,哈里·威尔逊,贝弗利·威尔斯,芭芭拉·德鲁,小爱德华·G·罗宾逊"
麦兜故事,8.6,"林海峰,吴君如,黄秋生,Buxx Banner,蔡明丽"
上帝也疯狂,8.7,"马瑞斯·威尔斯,历苏,Sandra Prinsloo,Louw Verwey,Michael Thys,Nic de Jager,Fanyana H. Sidumo,Joe Seakatsie,布莱恩·奥肖内西,肯·甘普,Paddy O'Byrne,Graham Armitage,Vera Blacker,Pip Freedman,Katinka Heyns,加美·尤伊斯,Janet Wells"
再见列宁,8.8,"丹尼尔·布鲁赫,卡特琳·萨斯,丘尔潘·哈马托娃,弗洛里安·卢卡斯,亚历山大·拜尔,米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫,汉斯·迪特里希·根舍,克劳斯·奥根塔勒,鲁迪·沃勒尔,洛塔尔·马特乌斯,米夏埃尔·格维斯戴克,马丁·布拉姆马赫,马克·比肖夫,彼得·库尔特,迈克尔·根帕,吉多·布赫瓦尔德,弗里茨罗斯,玛丽亚·西蒙,门南·雅博,布尔格哈特·克劳斯纳,阿尔恩特·施韦林·索瑞,于尔根·福格尔,Hanna Schwamborn"
红猪,8.6,"森山周一郎,加藤登纪子,冈村明美,桂三枝,上条恒彦,大塚明夫,关弘子,阪脩,田中信夫,野本礼三,仁内建之,岛香裕,藤本让,松尾银三,矢田稔,辻村真人,稻垣雅之,古本新之辅,松冈章夫,种田文子,泽海阳子,喜田亚由美,让·雷诺,迈克尔·基顿,加利·艾尔维斯,汤姆·肯尼,金伯利·威廉姆斯·佩斯利,弗兰克·维尔克,迪·布拉雷·贝克尔,特蕾丝·麦克尼尔,凯文·迈克尔·理查德森,比尔·法格巴克,苏珊·伊甘,戴维·奥格登·施蒂尔斯,詹妮弗·达林,杰夫·贝内特,比尔·法玛尔,罗德格尔·邦帕斯,吉姆·瓦德,菲尔·普洛克特"
熊出没之过年,8.8,"张秉君,张伟,辛媛,万丹青,谭笑,刘思奇,马浩伦,王雨暄,陈光"
海盗电台,8.6,"比尔·奈伊,肯尼思·布拉纳,菲利普·塞默·霍夫曼,尼克·弗罗斯特,汤姆·斯图里奇,瑞斯·伊凡斯,瑞斯·达比,克里斯·奥多德,妲露拉·莱莉,凯瑟琳·帕金森,杰克·达文波特,拉尔夫·布朗,汤姆·布鲁克,Bo Poraj,克里斯托弗·古梅鲁斯,艾玛·汤普森,波比·迪瓦伊,Will Adamsdale,杰玛·阿特登,汤姆·威斯多姆,詹纽瑞·琼斯,奥利维亚·卢埃林,查理·罗"
面子,8.8,"杨雅慧,陈冲,陈凌,王进,杨明燊,奥托·艾森度,杰西卡·赫特,大卫·石,李勋,鹿瑜,帕米拉·佩顿-赖特,Tina Johnson,Regina Lobiondo,Danny Lee,王洛勇"
福尔摩斯二世,9.4,"巴斯特·基顿,凯瑟琳·麦奎尔,乔·基顿,Ward Crane,Jane Connelly,乔治·戴维斯,Doris Deane,Betsy Ann Hisle,丘比·摩根,John Patrick,Ford West"
土拨鼠之日,8.6,"比尔·默瑞,安迪·麦克道威尔,克里斯·艾略特,斯蒂芬·托布罗斯基,布赖恩·道尔,瑞克·欧弗顿,威利·加森,安吉拉·佩顿,里克·杜科蒙,罗宾·杜克,肯·哈德森·坎贝尔,莱斯·波德威尔,哈罗德·雷米斯,迈克尔·珊农,约翰·M·沃森,Martha Webster,海登·瓦尔希,大卫·帕斯奎斯,马瑞塔·杰拉蒂,Lucina Paquet,C.O. Erickson,Grady Hutt"
初恋这件小事,8.5,"平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,雅尼卡·桑普蕾舞,诺特·阿查拉那·阿瑞亚卫考,皮拉瓦特·赫拉巴特,普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭,路知行,萍吉拉·斯莉雯查潘"
了不起的狐狸爸爸,8.6,"乔治·克鲁尼,梅丽尔·斯特里普,詹森·舒瓦兹曼,埃里克·蔡斯·安德森,比尔·默瑞,华莱士·沃洛达斯基,迈克尔·刚本,威廉·达福,欧文·威尔逊,贾维斯·考科尔,韦斯·安德森,凯伦·达菲,罗宾·赫尔斯通,雨果·吉尼斯,海伦·麦克洛瑞,罗曼·科波拉,尤玛·马努夫,杰瑞米·道森,加斯·詹宁斯,布莱恩·考克斯,特里斯坦·奥利弗,詹姆斯·哈密尔顿,史蒂文·M·拉尔斯,罗伯·赫尔索夫,珍妮弗·弗切斯,艾莉森·阿巴特,茉莉·库珀,阿德里安·布罗迪,马利欧·巴塔利,马丁·巴拉德,伊莎贝尔·于佩尔"
开心家族,8.6,"车太贤,高昌锡,张荣男,强艺元,千宝根,李文秀,张宥,朴闵英,金镇成,孔浩锡,文悬雅,李新罗美,李汉伟,梁银容,罗美兰,安吉江"
真爱至上,8.5,"休·格兰特,连姆·尼森,科林·费尔斯,劳拉·琳妮,艾玛·汤普森,艾伦·瑞克曼,凯拉·奈特莉,托马斯·布罗迪-桑斯特,比尔·奈伊,玛汀·麦古基安,马丁·弗瑞曼,克里斯·马歇尔,罗德里戈·桑托罗,罗温·艾金森,比利·鲍伯·松顿,安德鲁·林肯,露西娅·莫尼斯,海克·玛卡琪,理查德·柯蒂斯,詹纽瑞·琼斯,西耶娜·盖尔利,丹妮丝·理查兹,伊丽莎·库斯伯特,切瓦特·埃加福,克劳迪亚·席弗,亚当·戈德利,尼娜·索珊娅,朱莉娅·戴维斯,乔安娜·佩吉,奥利维亚·奥尔森,格莱格·费什尔,丹·弗雷登堡,阿卜杜勒·萨利斯,马库斯·布里斯托克,伊丽莎白·马尔戈尼,Richard Hawley,阿图罗·韦尼加斯,基尔·查尔斯,Tony Lucken"
冰雪奇缘,8.5,"克里斯汀·贝尔,伊迪娜·门泽尔,乔纳森·格罗夫,乔什·加德,圣蒂诺·方塔纳,艾伦·图代克,塞伦·希德,克里斯·威廉姆斯,斯蒂芬·安德森,玛雅·威尔逊,伊迪·麦克勒格,罗伯特·派恩,莫里斯·拉马奇,珍妮弗·李,莉薇·施图本劳赫,伊娃·贝拉,斯宾塞·莱西·加纳斯,泰里·布朗,杰西·科尔蒂,杰夫·马库斯,塔克·吉莫尔,保罗·布里格斯,松隆子,泷正则,吴磊,安娜莱吉·阿什福特,柯特妮·佩尔顿,珍妮卡·贝尔格雷,艾娃·阿卡雷斯,凯蒂·洛斯,周帅,赵乾景,刘北辰,斯科特·门维尔,保罗·佩普,弗雷德·塔特西奥,少爷占,尼古拉斯·格斯特,杰登·桑德,尼克·詹姆森,达拉·麦加瑞,张安琪,约翰·拉维尔,吉恩·吉尔平,朴惠娜,张琦"
钢的琴,8.5,"王千源,秦海璐,张申英,刘谦,罗二羊,国永振,周逵,田雨,张亚希,项燕,许江宁,张惠志,刘星禹,王早来,王玥,李占军,张露"
家有喜事,8.5,"张国荣,周星驰,张曼玉,吴君如,黄百鸣,陈淑兰,毛舜筠,李香琴,关海山,高志森,谷德昭,李丽珍,黄霑,黄光亮,何佩儿,袁文杰,黄瑷瑶,潘雁英,邓泰和,韩冬青,梁盛熊,罗伯特·扎雅克,辛德勤,李华干,林华勋,陈文雄,姜小亮,叶彩南"
完美陌生人,8.5,"马可·贾利尼,卡夏·斯穆特尼亚克,爱德华多·莱奥,阿尔芭·罗尔瓦赫尔,瓦莱里奥·马斯坦德雷亚,安娜·福列塔,朱塞佩·巴蒂斯通,贝内黛塔·波尔卡罗利,伊丽莎白·德·帕罗奥"
赌神,8.5,"周润发,刘德华,王祖贤,张敏,向华强,龙方,吴孟达,成奎安,周志鸿,王坤,陈耀光,王志学,陈景祥,夏国荣,郭彼得,叶彩南,吴伟业,郭雅祥,文逊,姚燦林,麦树燊,恩斯特 ·莫塞尔,尹尚林,西协美智子,鲍汉琳,黄斌,杨玉梅,鹿村泰祥,陈立品,黄新,杨泽霖,王晶,林华勋"
三毛从军记,8.6,"贾林,魏宗万,孙飞虎,李颖"
哪啊哪啊神去村,8.6,"染谷将太,长泽雅美,伊藤英明,西田尚美,槙田雄司,优香,近藤芳正,光石研,柄本明,菅原大吉,清野菜名,田中要次,小野敦子,古川雄辉,内村遥"
热天午后,8.7,"阿尔·帕西诺,约翰·凯泽尔,查尔斯·德恩,克里斯·萨兰登,詹姆斯·布罗德里克,约翰·马里奥特,苏利伯维尔,比尤拉加里克,卡罗尔·凯恩,玛西娅·让·库尔茨,埃斯特尔奥曼斯,加里·斯普林格,朱迪丝·马利纳,Susan Peretz,Lionel Pina,罗伯特·康斯坦佐,肯尼思·麦克米伦,多米尼克·查尼斯,迪克·安东尼·威廉姆斯,兰斯·亨利克森"
有话好好说,8.5,"姜文,李保田,瞿颖,刘信义,葛优,李雪健,尤勇智,张艺谋,赵本山,焦刚,梁冠华,李琦,方青卓,杜旭东,傅彪,陈晓花,李强,常戎,张伟平"
蜘蛛侠：纵横宇宙,8.5,"沙梅克·摩尔,海莉·斯坦菲尔德,奥斯卡·伊萨克,杰克·约翰逊,伊萨·雷,马赫沙拉·阿里,詹森·舒瓦兹曼,卡兰·索尼,丹尼尔·卡卢亚,安迪·萨姆伯格,布莱恩·泰里·亨利,劳伦·维勒斯,谢伊·惠格姆,格蕾塔·李,阿曼德拉·斯坦伯格 ,乔玛·塔科内,杰克·奎德,唐纳德·格洛弗,托比·马奎尔,安德鲁·加菲尔德,J·K·西蒙斯,贾雷尔·杰罗姆,凯瑟琳·哈恩,瑞秋·德拉彻,佩吉·陆,梅利莎·斯特姆,彼得·孙,齐吉·马利,尼克·诺维奇,塔兰·基拉姆,梅特罗·布明,索菲娅·巴克莱,乔什·基顿,伊斯梅尔·巴希,丹妮尔·佩雷兹,尤里·洛文塔尔,贵美子·格伦,伊丽莎白·帕金斯,冈冢敦子,洛兰·维莱斯,米歇尔·朱博利·冈萨雷斯,豪尔赫·R·古铁雷斯,索姆·卡皮拉,雷兹·肯普顿,卡马尔·可汗,莱克斯·朗,路易莎·莱斯金,凯特琳·麦肯纳-威尔金森,大卫·米驰,克里斯托弗·米勒,安德鲁·莫尔加多,安德里亚·纳维多,道格·尼古拉斯,阿瑟·奥尔蒂斯,夏奇拉·贾奈·帕耶,杰奎琳·皮诺尔,本·普罗斯基,迈克尔·里安达,米歇尔·拉夫,阿曼达·特鲁普,彭昱畅,虞书欣"
亚当斯一家的价值观,8.8,"克里斯蒂娜·里奇,琼·库萨克,劳尔·胡里亚,安杰丽卡·休斯顿,克里斯托弗·洛伊德,Joey Wilcots,莱尼·威尔逊,彼特·麦尼科,吉米·沃克曼,Micah Winkelspecht,Jason Fife,Alex Gaona,莫奈特·玛佐,卡雷尔·斯特鲁基,Rob Sanchez,伊安·艾伯克龙比,大卫·克朗姆霍茨,梅塞德斯·麦克纳博,托尼·夏尔赫布,丹娜·爱薇,卡罗尔·凯恩,约翰·福兰克林,内森·连恩,山姆·麦克莫里,巴里·索南菲尔德,辛西娅·尼克松,克里斯汀·芭伦斯基,查尔斯·布什,Vickilyn Reynolds,卡米利·萨维奥拉,Douglas Brian Martin,Steven M. Martin,埃德·拜尔德,哈里特·桑塞姆·哈里斯,Kaitlyn Hooper,Micah Hata,皮特·格拉维斯,Kristen Hooper,朱莉·霍尔斯顿,克里斯·埃里斯,劳拉·伊斯特曼,Lois De Banzie,Karl David-Djerf,谢丽尔·蔡斯,戴维·海德·皮尔斯"
海底总动员,8.5,"艾伯特·布鲁克斯,艾伦·德杰尼勒斯,亚历山大·古尔德,威廉·达福,布拉德·加内特,艾莉森·珍妮,奥斯汀·潘德尔顿,斯蒂芬·鲁特,薇姬·刘易斯,乔·兰福特,杰弗里·拉什,安德鲁·斯坦顿,伊丽莎白·帕金斯,Nicholas Bird,鲍勃·彼德森,巴瑞·哈姆弗莱斯,艾瑞克·巴纳,布鲁斯·斯宾斯,比尔·亨特,Jordan Ranft,埃丽卡·贝克,埃里克·佩尔·沙利文,约翰·拉森贝格,黄磊,张国立,徐帆,张致恒,任亚明,李恺悦,夏治世"
落叶归根,8.5,"赵本山,郭德纲,洪启文,宋丹丹,胡军,廖凡,午马,郭涛,夏雨,孙海英,刘金山,付立加,张镝,刘园媛,刘波,纳伊莎"
玩具总动员4,8.5,"汤姆·汉克斯,蒂姆·艾伦,安妮·波茨,托尼·海尔,科甘-迈克尔·凯,玛德琳·麦格劳,克里斯蒂娜·亨德里克斯,乔丹·皮尔,基努·里维斯,松村艾丽,杰伊·埃尔南德斯,罗里·艾伦,琼·库萨克,邦尼·亨特,克里斯汀·沙尔,华莱士·肖恩,约翰·拉森贝格,布莱克·克拉克,朱恩·斯奎布,卡尔·韦瑟斯,唐·里克斯,杰夫·格尔林,朱莉安娜·汉森,爱丝黛儿·哈里斯,劳里·梅特卡夫,史蒂夫·波赛尔,梅尔·布鲁克斯,艾伦·欧朋海默,卡罗尔·博内特,贝蒂·怀特,卡尔·雷纳,比尔·哈德尔,帕特丽夏·阿奎特,提摩西·道尔顿,弗利,梅丽莎·维亚西诺尔,杰夫·皮金,约翰·莫里斯,裘蒂·班森,巴德·乐凯,杰克·麦格劳, 郑武文杰,张啸霏,卢晓彤,艾米丽·戴维斯"
麻将,8.7,"柯宇纶,张震,林海象,唐从圣,维吉妮·拉朵嫣,金燕玲,王启赞,尼克·埃里克森,柯一正,王柏森,张国柱,吴家丽,徐明,顾宝明,T.C.林,陈欣慧,叶全真"
麦兜·我和我妈妈,8.6,"黄磊,吴君如,张正中,黄秋生,蔡明丽,蔡瀚亿,李云迪,黄忆慈"
疯狂约会美丽都,8.7,"比阿特丽斯·博尼法西,莉娜·布德罗,米歇尔·库谢图"
巴黎淘气帮,8.6,"马克西姆·戈达尔,瓦莱丽·勒梅西埃,凯德·麦拉德,桑德琳娜·基贝兰,弗朗索瓦-格扎维埃·德梅松,米歇尔·迪绍苏瓦,丹尼尔·普雷沃,米歇尔·加拉布吕,雅尼莫尼,弗朗索瓦·达密安,露易丝·布尔昆,文森特·克劳德,夏尔·瓦扬,维克托·卡莱斯,本杰明·阿弗蒂,小日尔曼·达米科,达米安·费多尔,维吉尔·泰拉德,伊丽莎·欧斯,热拉尔·朱尼奥,洛朗·蒂拉尔"
玩具总动员2,8.5,"汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,凯尔希·格兰莫,唐·里克斯,吉姆·法尼,华莱士·肖恩,约翰·拉森贝格,安妮·波茨,韦恩·奈特,约翰·莫里斯,劳里·梅特卡夫,爱丝黛儿·哈里斯,李·厄米,裘蒂·班森,李·昂克里奇,唐泽寿明,雪莉·琳恩,户田惠子,童自荣,比尔·法玛尔"
哪吒之魔童降世,8.4,"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮,张珈铭,杨卫,何禹祥,任俊鹏,雨辰,刘霖竺,大海,杏林儿,李南,陶渊"
黑炮事件,8.7,"刘子枫,盖尔哈德·奥尔谢夫斯基,高明,杨亚洲,汪漪,杨凤良,王北龙,赵秀玲,戈辉,谢炜"
蝴蝶,8.6,"米歇尔·塞罗尔,柯莱儿·布翁尼许,娜德·蒂约,奥黛丽·玛丽奥,弗朗索瓦·米肖,海伦·伊利,伊蒂格·斯特凡,弗兰克·亚德里安,曾健勇"
