电影,评分,演员
罗马假日,9.1,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯,玛格丽特·罗林斯,托里奥·卡米纳提,保罗·卡利尼,克劳迪奥·埃尔梅利,保拉·布鲁布尼,里佐·弗雷多里佐,劳拉·索拉里,Gorella Gori,Armando Annuale,毛里齐奥·阿雷纳,Silvio Bagolini,Gildo Bocci,弗兰科·科尔萨罗,John Cortay,Vittoria Crispo,Sidney Gordon,Luigi Moneta,Piero Pastore,米莫·波利,Carlo Rizzo,Gianna Segale,阿梅代奥·特里利,海伦·塔布斯,马科·图里,Joop van Hulzen,凯瑟琳·惠勒,Judy Wyler,陆建艺,金毅"
两杆大烟枪,9.1,"杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,杰森·斯坦森,斯蒂文·麦金托什,尼古拉斯·罗尔,维尼·琼斯,蓝尼·麦克林,P.H.莫里亚蒂,弗兰克·哈珀,史蒂夫·斯威尼,哈吉·利弗,罗尼·福克斯,斯蒂芬·马库斯,瓦斯·布莱克伍德,斯汀,杰克·亚伯拉罕,罗伯·布莱顿,薇拉·黛,阿兰·福德,席德·戈尔德,丹尼·约翰-儒勒,维克多·麦奎尔,安德鲁·蒂曼,马修·沃恩,布拉德·雅各布维茨"
我不是药神,9,"徐峥,王传君,周一围,谭卓,章宇,杨新鸣,王佳佳,王砚辉,贾弘逍,龚蓓苾,宁浩,李乃文,岳小军,苇青,富冠铭,巴拉特·巴蒂,喜利图,张海艳,朱耕佑,张子贤,邓飞,任洛敏,杜子蓝,刘兴雷,杜家毅,宁晓志,刘頔,马千壹,石强,甘昀宸,何李宁,陈翃,姜蓉蓉,吴健,朱卫民,金宸邦"
让子弹飞,9,"姜文,葛优,周润发,刘嘉玲,陈坤,张默,姜武,周韵,廖凡,姚橹,邵兵,苗圃,冯小刚,胡军,马珂,白冰,杜奕衡,李静,胡明,危笑,杨奇雨,赵铭,郭俊立,绀野千春,宣晓鸣,沙瑀,陈磊,文祥,岳红,吴昔果,姜洪齐,马元"
大话西游之月光宝盒,9,"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚,江约诚,陆树铭,刘镇伟,朱茵,李健仁,李宝龙,蔡少芬,胡立成,许敬义,侯艳"
雨中曲,9.1,"吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,简·哈根,米勒德·米切尔,赛德·查里斯,达格拉斯·福雷,丽塔·莫雷诺,道恩·艾达丝,John Albright,Betty Allen,Bette Arlen,David Bair,玛格丽特·伯特,Madge Blake,Gail Bonney,Chet Brandenburg,梅·克拉克,Harry Cody,Chick Collins,Pat Conway,Jeanne Coyne,Fred Datig Jr.,凯·德利斯,John Dodsworth,金·多诺万,Phil Dunham,海伦·艾比罗克,Richard Emory,Tommy Farrell,Ernie Flatt,贝丝·弗劳尔斯,罗伯特·福捷,Dan Foster,Robert Foulk,Eric Freeman,凯瑟琳·弗里曼,兰斯·富勒,杰克·乔治,John George,Inez Gorman,A. Cameron Grant,Beatrice Gray,William Hamel,山姆·哈里斯,Timmy Hawkins,Jean Heremans,斯图尔特·霍姆斯,肯纳G.肯普,迈克·拉里,乔伊·兰辛,William F. Leicester,Sylvia Lewis"
喜宴,9,"赵文瑄,归亚蕾,郎雄,金素梅,米切尔·利希藤斯坦,迈克尔·加斯顿,许永德,尼尔·哈夫,李淳,汉娜·沙利文,杨元提,姚培德,李安"
玛丽和马克思,9,"托妮·科莱特,菲利普·塞默·霍夫曼,巴瑞·哈姆弗莱斯,艾瑞克·巴纳,贝塔尼·维特莫尔,蕾妮·盖耶,伊恩·莫利·梅尔德伦,朱莉·福塞斯,约翰·弗劳思,克里斯托弗·马西,卡罗琳·莎士比亚-艾伦,琳恩·史密斯,迈克尔·延纳"
绿皮书,8.9,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫,迈克·哈顿,P·J·伯恩,乔·柯蒂斯,玛姬·尼克松,冯·刘易斯,乔恩·索特兰,唐·斯达克,安东尼·曼加诺,保罗·斯隆,珍娜·劳伦索,肯尼斯·以色列,伊克博·塞巴,尼克·瓦莱隆加,大卫·安,迈克·切罗内,杰拉尔丁·辛格,马丁·巴特斯·布拉德福德,格拉伦·布莱恩特·班克斯,汤姆·维图,夏恩·帕特洛,丹尼斯·W·霍尔,吉姆·克洛克,戴恩·罗兹,布赖恩·斯特帕尼克,乔恩·迈克尔·戴维斯,布莱恩·库瑞,托尼亚·马尔多纳多,加文·莱尔·弗雷,奎恩·达菲,哈里森·斯通,比利·布里德,莱斯利·卡斯泰,克雷格·迪弗朗西亚,大卫·卡拉维,瑞奇·缪斯,托尼·查普曼·斯蒂尔,伊桑·艾哈特,詹姆斯·W·埃弗莫尔,Frank Vallelonga"
东京教父,9,"江守彻,梅垣义明,冈本绫,饭塚昭三,加藤精三,石丸博也,槐柳二,屋良有作,寺濑今日子,能登麻美子,大塚明夫,小山力也,宇垣秀成,小形满,芝原智矢子,竹口安芸子,伊藤和晃,古田信幸,汤屋敦子,堀川仁,风间勇刀,最上嗣生,园部好德,川濑晶子,柴田理惠,犬山犬子,山寺宏一,柚木凉香,进藤尚美,川原庆久,麻生智久,铃森勘司,金田朋子,藤原启治,兴梠里美"
