地区,年份,结婚登记(万对),内地居民登记结婚(万对),内地居民初婚登记(万对),内地居民再婚登记(万对),涉外及港澳台居民登记结婚(万对),离婚登记(万对),粗离婚率(‰)
四川省,2011年,74.98,74.92,124.33,25.64,0.06,23.15,2.57
四川省,2010年,71.5,71.3,119.7,23.3,0.2,22.1,2.72
四川省,2009年,71,70.82,120.58,21.42,0.18,19.97,
四川省,2008年,62.78,62.59,105.94,19.62,0.19,18.58,
四川省,2007年,53.23,53.04,89.47,17,0.19,16.7,
四川省,2006年,45.2,44.9,76.1,14.3,0.29,14.8,
四川省,2005年,40.8,40.6,69.4,12.3,0.26,14.1,
四川省,2004年,44.29,44.02,75.85,12.2,0.27,13.1,
四川省,2003年,40.5,40.3,71.5,9,0.26,10.7,
贵州省,2022年,29.38,29.36,45.53,13.24,0.02,12.02,3.12
贵州省,2021年,29.28,29.26,44.57,13.98,0.02,10.7,2.78
贵州省,2020年,31.76,31.74,49.75,13.77,0.02,16.12,4.31
贵州省,2019年,36.24,36.19,57.71,14.77,0.05,16.61,4.59
贵州省,2018年,40.03,39.98,67.18,12.88,0.05,15.17,4.22
贵州省,2017年,40.36,40.31,77.27,3.44,0.04,13.45,3.77
贵州省,2016年,45.32,45.28,86.7,3.94,0.04,12.1,3.43
贵州省,2015年,49.26,49.22,95.3,3.22,0.04,10.84,3.07
贵州省,2014年,43.72,43.68,85.22,2.22,0.04,9.57,2.73
贵州省,2013年,42.98,42.94,83.54,2.43,0.04,8.57,2.45
贵州省,2012年,41.78,41.74,78.07,5.5,0.04,8.12,2.33
贵州省,2011年,37.34,37.29,67.93,6.75,0.05,7.22,1.72
贵州省,2010年,37.5,37.5,69.3,5.8,,6.4,1.82
贵州省,2009年,30.79,30.75,56.76,4.82,0.05,5.8,
贵州省,2008年,26.32,26.27,48.6,4.04,0.05,5.12,
贵州省,2007年,23.49,23.44,43.22,3.77,0.06,4.58,
贵州省,2006年,21.3,21.2,39.4,3.3,0.07,4.2,
贵州省,2005年,21.1,21.1,38.2,4.1,0.07,3.8,
贵州省,2004年,22.36,22.29,41.53,3.05,0.07,3.7,
贵州省,2003年,23.4,23.3,44.7,2,0.08,2.8,
云南省,2022年,27.38,27.32,41.96,12.8,0.06,11.11,2.37
云南省,2021年,29.98,29.92,45.43,14.53,0.05,9.86,2.1
云南省,2020年,32.79,32.71,49.47,16.11,0.08,14.3,2.99
云南省,2019年,35.92,35.53,54.11,17.72,0.39,14.45,2.97
云南省,2018年,37.76,37.46,58.02,17.49,0.3,13.33,2.77
云南省,2017年,40.28,40.01,64.3,16.25,0.27,12.71,2.66
云南省,2016年,44.61,44.31,74.41,14.81,0.29,11.93,2.52
云南省,2015年,45.82,45.52,78.29,13.36,0.3,10.91,2.3
云南省,2014年,46.48,46.1,81.47,11.5,0.38,10.05,2.14
云南省,2013年,45.21,44.89,80.44,9.98,0.32,9.13,1.95
云南省,2012年,41.95,41.69,76.55,7.35,0.26,8.21,1.76
云南省,2011年,39.07,38.9,71.96,6.18,0.17,7.43,1.64
云南省,2010年,40.2,40.1,74,6.5,0.1,6.9,1.5
云南省,2009年,34.29,34.22,62.87,5.72,0.07,6.08,
云南省,2008年,32.27,32.22,58.97,5.58,0.06,5.59,
云南省,2007年,29.74,29.7,54.67,4.8,0.04,5.11,
云南省,2006年,25.4,25.4,46.6,4.3,,4.7,
云南省,2005年,25.1,25,45.7,4.5,0.05,4.7,
云南省,2004年,26.42,26.36,48.66,4.06,0.06,4.3,
云南省,2003年,26.5,26.5,49.8,3.1,0.05,3.9,
西藏自治区,2022年,2.47,2.47,4.59,0.35,,0.46,1.26
西藏自治区,2021年,3.48,3.48,6.51,0.46,0,0.54,1.48
西藏自治区,2020年,3.42,3.42,6.67,0.17,0,0.63,1.75
西藏自治区,2019年,3.12,3.12,6.06,0.18,,0.53,1.5
西藏自治区,2018年,3.01,3.01,5.84,0.18,,0.47,1.37
西藏自治区,2017年,3.41,3.41,6.68,0.14,,0.4,1.2
西藏自治区,2016年,3.01,3,5.76,0.26,0,0.35,1.08
西藏自治区,2015年,1.54,1.54,2.93,0.16,,0.24,0.73
西藏自治区,2014年,1.96,1.95,3.54,0.38,0,0.26,0.84
西藏自治区,2013年,1.16,1.16,2.28,0.04,,0.18,0.57
西藏自治区,2012年,1.39,1.39,2.69,0.09,,0.13,0.43
西藏自治区,2011年,1.36,1.36,2.65,0.08,,0.2,0.68
西藏自治区,2010年,1.3,1.3,2.4,0.2,,0.2,0.67
西藏自治区,2009年,1.36,1.36,2.48,0.24,,0.17,
西藏自治区,2008年,0.83,0.83,1.54,0.11,0,0.13,
西藏自治区,2007年,0.78,0.78,1.44,0.12,0,0.15,
西藏自治区,2006年,0.6,0.6,1.1,0.1,0,0.1,
西藏自治区,2005年,0.6,0.6,1.1,0.1,,0.1,
西藏自治区,2004年,0.46,0.46,0.87,,,0.1,
西藏自治区,2003年,0.54,0.54,0.9,0.09,,0.1,
陕西省,2022年,20.04,20.02,30.51,9.58,0.02,7.99,2.02
陕西省,2021年,22.1,22.09,33.01,11.2,0.02,8.17,2.07
陕西省,2020年,23.62,23.6,35.17,12.07,0.02,12.79,3.27
陕西省,2019年,27.19,27.13,40.98,13.39,0.06,13.67,3.53
陕西省,2018年,30.04,29.99,46.75,13.33,0.05,12.84,3.34
陕西省,2017年,30.06,30.01,48.27,11.85,0.05,10.88,2.84
陕西省,2016年,33.24,33.19,54.49,11.99,0.05,10.14,2.67
陕西省,2015年,35.6,35.55,59.85,11.35,0.04,9.73,2.57
陕西省,2014年,38.12,38.08,65.56,10.69,0.05,8.51,2.26
陕西省,2013年,39.57,39.52,68.89,10.25,0.05,8.06,2.14
陕西省,2012年,37.36,37.32,65.62,9.11,0.04,7.1,1.89
陕西省,2011年,36.93,36.9,65.62,8.24,0.04,6.82,1.76
陕西省,2010年,34.7,34.6,61.8,7.5,,6.4,1.72
陕西省,2009年,31.94,31.89,58.75,5.13,0.05,5.52,
陕西省,2008年,31.85,31.81,57.98,5.73,0.05,5.36,
陕西省,2007年,27.64,27.59,49.6,5.67,0.05,5,
陕西省,2006年,25.5,25.5,46.1,4.9,0.06,4.3,
陕西省,2005年,20.8,20.8,38.1,3.5,0.05,4,
陕西省,2004年,20.56,20.51,37.08,3.94,0.05,4.1,
陕西省,2003年,19,19,35.6,2.5,0.04,3.4,
甘肃省,2022年,13.42,13.41,22.47,4.37,0.01,4.09,1.64
甘肃省,2021年,16.41,16.41,27.57,5.25,0,4.25,1.7
甘肃省,2020年,17.79,17.78,28.84,6.74,0.01,5.9,2.29
甘肃省,2019年,19.85,19.83,32.38,7.33,0.02,6.22,2.35
甘肃省,2018年,21.07,21.01,38.4,3.73,0.06,5.78,2.2
甘肃省,2017年,19.79,19.78,38.33,1.25,0.01,5.41,2.07
甘肃省,2016年,21.91,21.9,42.55,1.27,0.01,5.03,1.94
甘肃省,2015年,22.03,22.02,42.65,1.42,0.02,4.62,1.78
甘肃省,2014年,20.18,20.17,39.19,1.17,0.01,4.22,1.63
甘肃省,2013年,18.65,18.63,35.92,1.37,0.01,3.85,1.49
甘肃省,2012年,16.75,16.74,31.87,1.64,0.01,3.29,1.28
甘肃省,2011年,16.91,16.9,31.68,2.14,0.01,3.07,1.13
甘肃省,2010年,14.2,14.2,27,1.5,,2.8,1.09
甘肃省,2009年,12.24,12.23,23.33,1.15,0.01,2.47,
甘肃省,2008年,11.8,11.79,22.33,1.28,0.01,2.4,
甘肃省,2007年,11.58,11.57,21.86,1.3,0.01,2.2,
甘肃省,2006年,13.3,13.2,24.5,2,,2.3,
甘肃省,2005年,11.5,11.4,21,1.9,0.01,2.3,
甘肃省,2004年,12.12,12.11,22.52,1.7,0.01,2.1,
甘肃省,2003年,11.8,11.8,22.2,1.5,0.01,1.9,
青海省,2022年,3.37,3.37,5.42,1.31,0,1.14,1.92
青海省,2021年,4.57,4.57,7.35,1.78,0,1.35,2.28
青海省,2020年,5.19,5.18,8.51,1.86,0,1.83,3.05
青海省,2019年,5.77,5.77,9.66,1.88,,1.85,3.04
青海省,2018年,5.73,5.73,9.61,1.85,,1.71,2.85
青海省,2017年,5.97,5.97,10.27,1.67,,1.64,2.76
青海省,2016年,6.12,6.12,10.83,1.41,0,1.52,2.58
青海省,2015年,5.11,5.1,9.21,1,,1.28,2.17
青海省,2014年,5.4,5.4,9.95,0.85,0,1.25,2.16
青海省,2013年,4.75,4.74,8.48,1.01,,1.08,1.87
青海省,2012年,4.57,4.57,7.88,1.26,,1.07,1.86
青海省,2011年,4.17,4.16,7.46,0.87,,0.94,1.7
青海省,2010年,3,3,5.4,0.5,,0.8,1.43
青海省,2009年,2.97,2.97,5.44,0.51,,0.76,
青海省,2008年,3.38,3.38,6.09,0.67,0,0.75,
青海省,2007年,3.12,3.12,5.54,0.7,0,0.83,
青海省,2006年,3.1,3.1,5.4,0.9,0,0.8,
青海省,2005年,2.9,2.9,5.2,0.5,,0.8,
青海省,2004年,3.02,3.01,5.52,0.51,,0.8,
青海省,2003年,3.3,3.3,6.1,0.5,,0.7,
宁夏回族自治区,2022年,4.16,4.16,6.52,1.8,0,1.65,2.26
宁夏回族自治区,2021年,4.87,4.87,7.66,2.08,0,1.67,2.31
宁夏回族自治区,2020年,4.94,4.93,7.72,2.15,0,2.07,2.93
宁夏回族自治区,2019年,6.09,6.08,9.86,2.32,,2.44,3.51
宁夏回族自治区,2018年,6.07,6.07,9.95,2.2,,2.28,3.33
宁夏回族自治区,2017年,6.03,6.03,9.91,2.16,0.01,2.22,3.27
宁夏回族自治区,2016年,6.2,6.2,10.3,2.11,0,1.95,2.92
宁夏回族自治区,2015年,6.09,6.09,10.31,1.87,,1.81,2.64
宁夏回族自治区,2014年,5.6,5.59,9.73,1.46,0,1.58,2.4
宁夏回族自治区,2013年,6.38,6.38,11.54,1.22,0.01,1.59,2.43
宁夏回族自治区,2012年,6.07,6.07,10.88,1.27,,1.5,2.32
宁夏回族自治区,2011年,6.15,6.14,10.86,1.43,,1.33,2.08
宁夏回族自治区,2010年,6,6,10.5,1.5,,1.2,1.91
宁夏回族自治区,2009年,5.66,5.65,10.15,1.16,,1.27,
宁夏回族自治区,2008年,4.62,4.61,8.25,0.98,0,1.07,
宁夏回族自治区,2007年,4.92,4.92,9.1,0.75,0,0.97,
宁夏回族自治区,2006年,5.1,5.1,9.6,0.7,0,0.9,
宁夏回族自治区,2005年,4.1,4.1,7.5,0.7,,0.9,
宁夏回族自治区,2004年,4.05,4.05,7.4,0.66,,0.8,
宁夏回族自治区,2003年,3.6,3.6,6.6,0.5,,0.6,
新疆维吾尔自治区,2022年,12.53,12.53,16.38,8.69,0,6.57,2.54
新疆维吾尔自治区,2021年,15.63,15.63,25.23,6.03,0,7.34,2.83
新疆维吾尔自治区,2020年,13.88,13.87,25.82,1.94,0,7.36,2.88
新疆维吾尔自治区,2019年,16.59,16.58,30.99,2.2,0.01,7.31,2.9
新疆维吾尔自治区,2018年,15.37,15.36,28.54,2.19,0.01,5.95,2.41
新疆维吾尔自治区,2017年,18.39,18.38,34.3,2.47,0.01,7.44,3.07
新疆维吾尔自治区,2016年,21.41,21.39,40.63,2.18,0.01,9.36,3.98
新疆维吾尔自治区,2015年,27.66,27.64,52.1,3.22,0.02,10.18,4.31
新疆维吾尔自治区,2014年,27.92,27.89,52.5,3.33,0.03,10.8,4.74
新疆维吾尔自治区,2013年,26.07,26.04,48.02,4.12,0.03,10.91,4.82
新疆维吾尔自治区,2012年,26.29,26.26,43.05,9.52,0.03,10.31,4.62
新疆维吾尔自治区,2011年,28.23,28.21,41.93,14.54,0.03,10.42,4.81
新疆维吾尔自治区,2010年,26.4,26.4,38.9,13.9,,9.8,4.51
新疆维吾尔自治区,2009年,26.55,26.53,38.96,14.15,0.02,8.84,
新疆维吾尔自治区,2008年,25.36,25.34,37.56,13.16,0.02,8.74,
新疆维吾尔自治区,2007年,22.63,22.6,33.1,12.16,0.03,8.15,
新疆维吾尔自治区,2006年,20.1,20.1,29.2,11,,7.7,
新疆维吾尔自治区,2005年,19.6,19.6,29.4,9.9,,7.8,
新疆维吾尔自治区,2004年,19.34,19.32,29.73,8.89,0.02,6.8,
新疆维吾尔自治区,2003年,16.6,16.5,25.6,7.6,0.02,5.9,
